i_key,tax_phylum,tax_class,tax_order,tax_family,tax_genus,tax_sp_subsp,h_strain,h_accession,h_taxID,h_assembly,i_accession,i_name,i_type,i_start,i_end,i_len,i_strand,i_insertion,reference,DOI_PMID,status,source_file,comments,h_gram,h_len
MKQV01000065:13537..32113,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus,PMA1.15,MKQV01000065,670,Scaffold,-,GIVpaPMA1.15,IME,13537,32113,18576,+,mnmE,custom: VB,-,-,ref_dataset_proto,-,-,49543
NC_000964:529174..551929,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis,168,NC_000964,224308,Complete,-,BASU001c01a_typeAllDefC_1_1,ICE,529174,551929,22755,+,TrnS-Leu1,DOI: 10.1093/nar/gkx607,DOI: 10.1093/nar/gkx607,experimental,ref_dataset_proto;CTR-200ices,-,-,4215606
NC_002758:432971..463549,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,Mu50,NC_002758,158878,Complete,-,STAU001c01a_typeAllDefC_1_1,ICE,432971,463549,30578,+,guaA,DOI: 10.1093/nar/gkx607,DOI: 10.1093/nar/gkx607,experimental,ref_dataset_proto;CTR-200ices,-,-,2878529
NC_002942:1352183..1402483,Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella pneumophila,Philadelphia 1,NC_002942,272624,Complete,-,LEPN001c01a_typeAllDefC_1_1,ICE,1352183,1402483,50300,+,-,-,DOI: 10.1093/nar/gkx607,-,CTR-200ices,-,-,3397754
NC_002942:2296658..2366920,Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella pneumophila,Philadelphia 1,NC_002942,272624,Complete,-,LEPN001c01a_typeAllDefC_2_2,ICE,2296658,2366920,70262,+,-,-,DOI: 10.1093/nar/gkx607,-,CTR-200ices,-,-,3397754
NC_002951:1605947..1623226,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,COL,NC_002951,93062,Complete,-,STAU002c01a_typeAllDefC_1_2,ICE,1605947,1623226,17279,+,-,-,DOI: 10.1093/nar/gkx607,-,CTR-200ices,-,-,2809422
NC_002952:1349006..1365812,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,MRSA252,NC_002952,282458,Complete,-,STAU007c01a_typeAllDefC_1_3,ICE,1349006,1365812,16806,+,-,-,DOI: 10.1093/nar/gkx607,-,CTR-200ices,-,-,2902619
NC_003210:1129412..1154204,Bacillota,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria monocytogenes,EGD-e,NC_003210,169963,Complete,-,LIMO001c01a_typeAllDefC_1_1,ICE,1129412,1154204,24792,+,-,-,DOI: 10.1093/nar/gkx607,-,CTR-200ices,-,-,2944528
NC_003295:2779312..2828315,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia solanacearum,GMI1000,NC_003295,267608,Complete,-,RASO001c01a_typeAllDefC_1_1,ICE,2779312,2828315,49003,+,-,DOI: 10.1093/nar/gkx607,DOI: 10.1093/nar/gkx607,predicted,ref_dataset_proto;CTR-200ices,-,-,3716413
NC_004116:1960613..2005126,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus agalactiae,2603V/R,NC_004116,208435,Complete,-,STAG001c01a_typeAllDefC_1_1,ICE,1960613,2005126,44513,+,-,-,DOI: 10.1093/nar/gkx607,-,CTR-200ices,-,-,2160267
NC_004350:191777..213704,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,UA159,NC_004350,210007,Complete,-,STMU001c01a_typeAllDefC_1_1,ICE,191777,213704,21927,+,-,-,DOI: 10.1093/nar/gkx607,-,CTR-200ices,-,-,2032925
NC_004368:1013026..1060093,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus agalactiae,NEM316,NC_004368,211110,Complete,-,ICE_SagNEM316_TnGBS1_3,ICE,1013026,1060093,47067,+,intergenic,-,DOI: 10.1093/nar/gkx607,experimental,firmidata;CTR-200ices;ref_dataset_proto,-,-,2211485
NC_004368:1163554..1197443,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus agalactiae,NEM316,NC_004368,211110,Complete,-,ICE_SagNEM316_TnGBS2,ICE,1163554,1197443,33889,+,intergenic,-,DOI: 10.1093/nar/gkx607,-,firmidata;ref_dataset_proto;CTR-200ices,-,-,2211485
NC_004368:1361776..1371884,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus agalactiae,NEM316,NC_004368,211110,Complete,-,IME_SagNEM316_rplL,IME derivate,1361776,1371884,10108,+,3' rpIL,-,-,-,firmidata,-,-,2211485
NC_004368:1371870..1423551,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus agalactiae,NEM316,NC_004368,211110,Complete,-,ICE_SagNEM316_rplL,ICE,1371870,1423551,51681,+,3' rpIL,-,DOI: 10.1093/nar/gkx607,-,firmidata;CTR-200ices,-,-,2211485
NC_004368:2137895..2146146,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus agalactiae,NEM316,NC_004368,211110,Complete,-,IME_SagNEM316_rpmG,IME,2137895,2146146,8251,+,3' rpmG,-,-,-,firmidata,-,-,2211485
NC_004368:232719..241578,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus agalactiae,NEM316,NC_004368,211110,Complete,-,IME_SagNEM316_rpsI,IME,232719,241578,8859,+,3' rpsI,-,-,-,firmidata,-,-,2211485
NC_004368:241527..245375,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus agalactiae,NEM316,NC_004368,211110,Complete,-,-,CIME,241527,245375,3848,+,3' rpsI,-,-,-,firmidata,-,-,2211485
NC_004368:257684..264279,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus agalactiae,NEM316,NC_004368,211110,Complete,-,IME_SagNEM316_tRNAleu,IME,257684,264279,6595,+,3' tRNAleu,-,-,-,firmidata,-,-,2211485
NC_004368:385757..432824,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus agalactiae,NEM316,NC_004368,211110,Complete,-,ICE_SagNEM316_TnGBS1_1,ICE,385757,432824,47067,+,intergenic,-,-,-,firmidata,-,-,2211485
NC_004368:711824..758891,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus agalactiae,NEM316,NC_004368,211110,Complete,-,ICE_SagNEM316_TnGBS1_2,ICE,711824,758891,47067,+,intergenic,-,-,-,firmidata,-,-,2211485
NC_004461:1519667..1558081,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis,ATCC 12228,NC_004461,176280,Complete,-,ICE_Step12228_tRNAser,ICE,1519667,1558081,38414,+,3' tRNAser,-,-,-,firmidata,-,-,2499279
NC_004668:131636..164376,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,V583,NC_004668,226185,Complete,-,ICE_EfalV583_guaA,ICE,131636,164376,32740,+,3' guaA,-,DOI: 10.1093/nar/gkx607,-,firmidata;CTR-200ices,-,-,3218031
NC_004668:1792883..1843075,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,V583,NC_004668,226185,Complete,-,ICE_EfalV583_rplS,ICE,1792883,1843075,50192,+,3' rplS,-,DOI: 10.1093/nar/gkx607,-,firmidata;CTR-200ices,-,-,3218031
NC_004668:2163705..2274732,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,V583,NC_004668,226185,Complete,-,ICE_EfalV583_lepA,ICE,2163705,2274732,111027,+,3'/in lepA,-,-,-,firmidata,-,-,3218031
NC_004668:2204888..2258589,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,V583,NC_004668,226185,Complete,-,ICE_EfalV583_ND,ICE,2204888,2258589,53701,+,unknown (see comments),-,DOI: 10.1093/nar/gkx607,-,firmidata;ref_dataset_proto;CTR-200ices,-,-,3218031
NC_004668:2436941..2462369,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,V583,NC_004668,226185,Complete,-,ICE_EfalV583_tRNAthr,ICE,2436941,2462369,25428,+,3' tRNAthr,-,DOI: 10.1093/nar/gkx607,-,firmidata;CTR-200ices,-,-,3218031
NC_004668:3090770..3100174,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,V583,NC_004668,226185,Complete,-,IME_EfalV583_rpsI,IME derivate,3090770,3100174,9404,+,3' rpsI,-,-,-,firmidata,-,-,3218031
NC_004668:445116..583433,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,V583,NC_004668,226185,Complete,-,ICE_EfalV583_tRNALys*,ICE,445116,583433,138317,+,in tRNAlys gene ? (see comments),-,-,-,firmidata,-,-,3218031
NC_005296:2478589..2567248,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Rhodopseudomonas,Rhodopseudomonas palustris,CGA009,NC_005296,258594,Complete,-,RHPA006c01a_typeAllDefC_1_4,ICE,2478589,2567248,88659,+,-,-,DOI: 10.1093/nar/gkx607,-,CTR-200ices,-,-,5459213
NC_006368:178779..241457,Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella pneumophila,Paris,NC_006368,297246,Complete,-,LEPN003c01a_typeAllDefC_1_4,ICE,178779,241457,62678,+,-,-,DOI: 10.1093/nar/gkx607,-,CTR-200ices,-,-,3503610
NC_006369:171522..236542,Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella pneumophila,Lens,NC_006369,297245,Complete,-,LEPN002c01a_typeAllDefC_1_3,ICE,171522,236542,65020,+,-,-,DOI: 10.1093/nar/gkx607,-,CTR-200ices,-,-,3345687
NC_007086:2414286..2495389,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas campestris,pv. campestris str. 8004,NC_007086,314565,Complete,-,XACA002c01a_typeAllDefC_1_1,ICE,2414286,2495389,81103,+,-,-,DOI: 10.1093/nar/gkx607,-,CTR-200ices,-,-,5148708
NC_007146:92071..150293,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus influenzae,86-028NP,NC_007146,281310,Complete,-,HAIN002c01a_typeAllDefC_1_1,ICE,92071,150293,58222,+,-,-,DOI: 10.1093/nar/gkx607,-,CTR-200ices,-,-,1914490
NC_007296:1284967..1324794,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pyogenes,MGAS6180,NC_007296,319701,Complete,-,STPY007c01a_typeAllDefC_1_1,ICE,1284967,1324794,39827,+,-,-,DOI: 10.1093/nar/gkx607,-,CTR-200ices,-,-,1897578
NC_007492:3384761..3506807,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens,Pf0-1,NC_007492,205922,Complete,-,PSFL002c01a_typeAllDefC_1_1,ICE,3384761,3506807,122046,+,-,-,DOI: 10.1093/nar/gkx607,-,CTR-200ices,-,-,6438405
NC_007508:2631492..2742828,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas euvesicatoria,pv. vesicatoria str. 85-10,NC_007508,316273,Complete,-,XACA003c01a_typeAllDefC_1_2,ICE,2631492,2742828,111336,+,-,-,DOI: 10.1093/nar/gkx607,-,CTR-200ices,-,-,5178466
NC_007777:1212450..1226035,Actinomycetota,Actinomycetes,Frankiales,Frankiaceae,Frankia,Frankia casuarinae,CcI3,NC_007777,106370,Complete,-,AICEFCci3_1033,AICE,1212450,1226035,13585,+,tRNA-Lys,DOI: 10.1371/journal.pone.0027846,DOI: 10.1371/journal.pone.0027846,-,ref_dataset_proto,-,-,5433628
NC_007777:1350707..1359258,Actinomycetota,Actinomycetes,Frankiales,Frankiaceae,Frankia,Frankia casuarinae,CcI3,NC_007777,106370,Complete,-,AICEFCci3_1144,AICE,1350707,1359258,8551,+,tRNA-Arg,DOI: 10.1371/journal.pone.0027846,DOI: 10.1371/journal.pone.0027846,-,ref_dataset_proto,-,-,5433628
NC_007777:4014982..4032761,Actinomycetota,Actinomycetes,Frankiales,Frankiaceae,Frankia,Frankia casuarinae,CcI3,NC_007777,106370,Complete,-,AICEFCci3_3388,AICE,4014982,4032761,17779,+,tRNA-Met,DOI: 10.1371/journal.pone.0027846,DOI: 10.1371/journal.pone.0027846,-,ref_dataset_proto,-,-,5433628
NC_007777:459293..479563,Actinomycetota,Actinomycetes,Frankiales,Frankiaceae,Frankia,Frankia casuarinae,CcI3,NC_007777,106370,Complete,-,AICEFCci3_0407,AICE,459293,479563,20270,+,tRNA-Arg,DOI: 10.1371/journal.pone.0027846,DOI: 10.1371/journal.pone.0027846,-,ref_dataset_proto,-,-,5433628
NC_007777:5094597..5104140,Actinomycetota,Actinomycetes,Frankiales,Frankiaceae,Frankia,Frankia casuarinae,CcI3,NC_007777,106370,Complete,-,AICEFCci3_4274,AICE,5094597,5104140,9543,+,tRNA-Pro,DOI: 10.1371/journal.pone.0027846,DOI: 10.1371/journal.pone.0027846,-,ref_dataset_proto,-,-,5433628
NC_007793:1628768..1646062,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,USA300,NC_007793,451515,Complete,-,STAU010c01a_typeAllDefC_1_4,ICE,1628768,1646062,17294,+,-,-,DOI: 10.1093/nar/gkx607,-,CTR-200ices,-,-,2872769
NC_007925:3869171..4028803,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Rhodopseudomonas,Rhodopseudomonas palustris,BisB18,NC_007925,316056,Complete,-,RHPA001c01a_typeAllDefC_1_1,ICE,3869171,4028803,159632,+,-,-,DOI: 10.1093/nar/gkx607,-,CTR-200ices,-,-,5513844
NC_007925:4270656..4389195,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Rhodopseudomonas,Rhodopseudomonas palustris,BisB18,NC_007925,316056,Complete,-,RHPA001c01a_typeAllDefC_2_2,ICE,4270656,4389195,118539,+,-,-,DOI: 10.1093/nar/gkx607,-,CTR-200ices,-,-,5513844
NC_008022:1311771..1349036,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pyogenes,MGAS10270,NC_008022,370552,Complete,-,STPY011c01a_typeAllDefC_1_3,ICE,1311771,1349036,37265,+,-,-,DOI: 10.1093/nar/gkx607,-,CTR-200ices,-,-,1928252
NC_008023:1057933..1120859,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pyogenes,MGAS2096,NC_008023,370553,Complete,-,ICE_Spy2096_rumA,ICE,1057933,1120859,62926,+,in rumA,-,DOI: 10.1093/nar/gkx607,-,firmidata;CTR-200ices,-,-,1860355
NC_008023:1093031..1103987,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pyogenes,MGAS2096,NC_008023,370553,Complete,-,IME_Spy2096_SNF2,IME,1093031,1103987,10956,+,in SNF2 helicase,-,-,-,firmidata,-,-,1860355
NC_008278:1851503..1865050,Actinomycetota,Actinomycetes,Frankiales,Frankiaceae,Frankia,Frankia alni ,ACN14a,NC_008278,326424,Complete,-,AICEFACN14a_1739,AICE,1851503,1865050,13547,+,tRNA-Lys,DOI: 10.1371/journal.pone.0027846,DOI: 10.1371/journal.pone.0027846,-,ref_dataset_proto,-,positive,7497934
NC_008278:5890473..5904804,Actinomycetota,Actinomycetes,Frankiales,Frankiaceae,Frankia,Frankia alni ,ACN14a,NC_008278,326424,Complete,-,AICEFACN14a_5456,AICE,5890473,5904804,14331,+,tRNA-Met,DOI: 10.1371/journal.pone.0027846,DOI: 10.1371/journal.pone.0027846,-,ref_dataset_proto,-,positive,7497934
NC_008435:4434556..4553273,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Rhodopseudomonas,Rhodopseudomonas palustris,BisA53,NC_008435,316055,Complete,-,RHPA004c01a_typeAllDefC_1_3,ICE,4434556,4553273,118717,+,-,-,DOI: 10.1093/nar/gkx607,-,CTR-200ices,-,-,5505494
NC_008463:2674712..2722844,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,UCBPP-PA14,NC_008463,208963,Complete,-,PSAE002c01a_typeAllDefC_1_1,ICE,2674712,2722844,48132,+,-,-,DOI: 10.1093/nar/gkx607,-,CTR-200ices,-,-,6537648
NC_008463:5245268..5359555,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,UCBPP-PA14,NC_008463,208963,Complete,-,PSAE002c01a_typeAllDefC_2_2,ICE,5245268,5359555,114287,+,-,DOI: 10.1093/nar/gkx607,DOI: 10.1093/nar/gkx607,experimental,ref_dataset_proto;CTR-200ices,-,-,6537648
NC_009089:1284321..1314877,Bacillota,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,630,NC_009089,272563,Complete,-,ICE_Cdi630_NS_2,ICE,1284321,1314877,30556,+,-,-,-,-,firmidata,-,positive,4290252
NC_009089:2137465..2183040,Bacillota,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,630,NC_009089,272563,Complete,-,ICE_Cdi630_rumA_2*,ICE,2137465,2183040,45575,+,in a secondary site (see comments) -  specific of rumA,-,-,-,firmidata,-,positive,4290252
NC_009089:3890833..3912345,Bacillota,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,630,NC_009089,272563,Complete,-,ICE_Cdi630_guaA*,ICE,3890833,3912345,21512,+,integrase specific of 3' guaA -  integrated in a secondary site,-,-,-,firmidata,-,positive,4290252
NC_009089:3938110..3967531,Bacillota,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,630,NC_009089,272563,Complete,-,ICE_Cdi630_rumA_3,ICE,3938110,3967531,29421,+,in rumA,-,-,-,firmidata,-,positive,4290252
NC_009089:428667..456893,Bacillota,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,630,NC_009089,272563,Complete,-,ICE_Cdi630_NS_1,ICE,428667,456893,28226,+,-,-,-,-,firmidata,-,positive,4290252
NC_009089:480392..519797,Bacillota,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,630,NC_009089,272563,Complete,-,ICE_Cdi630_rumA_1,ICE,480392,519797,39405,+,in rumA,-,-,-,firmidata,-,positive,4290252
NC_009089:585378..606047,Bacillota,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,630,NC_009089,272563,Complete,-,ICE_Cdi630_fic,ICE,585378,606047,20669,+,in Fic/DOC (codons 204-208 FSDGN),-,-,-,firmidata,-,positive,4290252
NC_009442:834907..846199,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus suis,05ZYH33,NC_009442,391295,Complete,-,IME_SsuZYH33_guaA,IME,834907,846199,11292,+,3' guaA,-,-,-,firmidata,-,-,2096309
NC_009442:872952..961832,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus suis,05ZYH33,NC_009442,391295,Complete,-,ICE_SsuZYH33_rplL,ICE,872952,961832,88880,+,3' rplL,-,-,-,firmidata,-,-,2096309
NC_009442:888251..906281,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus suis,05ZYH33,NC_009442,391295,Complete,-,ICE_SsuZYH33_Tn916,ICE,888251,906281,18030,+,NS,-,DOI: 10.1093/nar/gkx607,-,firmidata;CTR-200ices,-,-,2096309
NC_009442:93809..99975,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus suis,05ZYH33,NC_009442,391295,Complete,-,IME_SsuZYH33_tRNAleu,IME,93809,99975,6166,+,3' tRNAleu,-,-,-,firmidata,-,-,2096309
NC_009443:886384..908560,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus suis,98HAH33,NC_009443,391296,Complete,-,STSU002c01a_typeAllDefC_1_2,ICE,886384,908560,22176,+,-,DOI: 10.1093/nar/gkx607,DOI: 10.1093/nar/gkx607,predicted,ref_dataset_proto;CTR-200ices,-,-,2095698
NC_009494:179183..235786,Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella pneumophila,Corby,NC_009494,400673,Complete,-,LEPN004c01a_typeAllDefC_1_5,ICE,179183,235786,56603,+,-,-,DOI: 10.1093/nar/gkx607,-,CTR-200ices,-,-,3576470
NC_009494:613277..657742,Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella pneumophila,Corby,NC_009494,400673,Complete,-,LEPN004c01a_typeAllDefC_2_6,ICE,613277,657742,44465,+,-,-,DOI: 10.1093/nar/gkx607,-,CTR-200ices,-,-,3576470
NC_009512:3249134..3353410,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas putida,F1,NC_009512,351746,Complete,-,PSPU004c01a_typeAllDefC_1_2,ICE,3249134,3353410,104276,+,-,-,DOI: 10.1093/nar/gkx607,-,CTR-200ices,-,-,5959964
NC_009656:3827480..3886041,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,PA7,NC_009656,381754,Complete,-,PSAE003c01a_typeAllDefC_1_3,ICE,3827480,3886041,58561,+,-,DOI: 10.1093/nar/gkx607,DOI: 10.1093/nar/gkx607,predicted,ref_dataset_proto;CTR-200ices,-,-,6588339
NC_009656:4573506..4660121,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,PA7,NC_009656,381754,Complete,-,PSAE003c01a_typeAllDefC_2_4,ICE,4573506,4660121,86615,+,-,-,DOI: 10.1093/nar/gkx607,-,CTR-200ices,-,-,6588339
NC_009708:4156464..4225086,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pseudotuberculosis,IP 31758,NC_009708,349747,Complete,-,YEPS002c01a_typeAllDefC_1_1,ICE,4156464,4225086,68622,+,trnA,DOI: 10.1093/nar/gkx607,DOI: 10.1093/nar/gkx607,predicted,ref_dataset_proto;CTR-200ices,-,-,4723306
NC_009782:432974..463553,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,Mu3,NC_009782,418127,Complete,-,STAU011c01a_typeAllDefC_1_5,ICE,432974,463553,30579,+,-,-,DOI: 10.1093/nar/gkx607,-,CTR-200ices,-,-,2880168
NC_010067:3005604..3077348,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,"serovar 62:z4,z23:-",NC_010067,41514,Complete,-,SAEN006c01a_typeAllDefC_1_1,ICE,3005604,3077348,71744,+,-,-,DOI: 10.1093/nar/gkx607,-,CTR-200ices,-,-,4600800
NC_010079:678009..695295,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,USA300,NC_010079,451516,Complete,-,STAU012c01a_typeAllDefC_1_6,ICE,678009,695295,17286,+,-,-,DOI: 10.1093/nar/gkx607,-,CTR-200ices,-,-,2872915
NC_010380:1300655..1326165,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pneumoniae,Hungary19A-6,NC_010380,487214,Complete,-,STPN004c01a_typeAllDefC_1_1,ICE,1300655,1326165,25510,+,-,-,DOI: 10.1093/nar/gkx607,-,CTR-200ices,-,-,2245615
NC_010582:1254186..1306314,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pneumoniae,CGSP14,NC_010582,516950,Complete,-,STPN005c01a_typeAllDefC_2_3,ICE,1254186,1306314,52128,+,-,-,DOI: 10.1093/nar/gkx607,-,CTR-200ices,-,-,2209198
NC_010582:156962..186213,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pneumoniae,CGSP14,NC_010582,516950,Complete,-,STPN005c01a_typeAllDefC_1_2,ICE,156962,186213,29251,+,-,DOI: 10.1093/nar/gkx607,DOI: 10.1093/nar/gkx607,predicted,ref_dataset_proto;CTR-200ices,-,-,2209198
NC_010698:873916..915701,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,Shi470,NC_010698,512562,Complete,-,HEPY004c01a_typeAllDefC_1_1,ICE,873916,915701,41785,+,-,-,DOI: 10.1093/nar/gkx607,-,CTR-200ices,-,-,1608548
NC_010943:1322409..1369786,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas maltophilia,K279a,NC_010943,522373,Complete,-,STML001c01a_typeAllDefC_1_1,ICE,1322409,1369786,47377,+,-,DOI: 10.1093/nar/gkx607,DOI: 10.1093/nar/gkx607,predicted,ref_dataset_proto;CTR-200ices,-,-,4851126
NC_011072:1191684..1210587,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pneumoniae,G54,NC_011072,512566,Complete,-,STPN006c01a_typeAllDefC_1_4,ICE,1191684,1210587,18903,+,-,-,DOI: 10.1093/nar/gkx607,-,CTR-200ices,-,-,2078953
NC_011072:1208244..1252286,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pneumoniae,G54,NC_011072,512566,Complete,-,STPN006c01a_typeAllDefC_2_12,ICE,1208244,1252286,44042,+,-,-,DOI: 10.1093/nar/gkx607,-,CTR-200ices,-,-,2078953
NC_011134:316406..327005,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus equi subsp. zooepidemicus,MGCS10565; ATCC BAA1716,NC_011134,552526,Complete,-,IME_Seq10565_ebfC,IME,316406,327005,10599,+,5' ybaB/ebfC,-,-,-,firmidata,-,-,2024171
NC_011134:94474..100491,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus equi subsp. zooepidemicus,MGCS10565; ATCC BAA1716,NC_011134,552526,Complete,-,IME_Seq10565_tRNAleu,IME,94474,100491,6017,+,3' tRNAleu,-,-,-,firmidata,-,-,2024171
NC_011283:1807766..1882220,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella variicola,342,NC_011283,244366,Complete,-,KLPN001c01a_typeAllDefC_1_1,ICE,1807766,1882220,74454,+,-,-,DOI: 10.1093/nar/gkx607,-,CTR-200ices,-,-,5641239
NC_011498:1391041..1427267,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori ,P12 ,NC_011498,570508,Complete,-,HEPY006c01a_typeAllDefC_1_2,ICE,1391041,1427267,36226,+,-,DOI: 10.1093/nar/gkx607,DOI: 10.1093/nar/gkx607,predicted,ref_dataset_proto;CTR-200ices,-,-,1673813
